2024-09-13 12:15:49.109 | INFO  | nchat 5.1.29  (main.cpp:249)
2024-09-13 12:15:49.109 | INFO  | macOS 14.5 x86_64  (main.cpp:251)
2024-09-13 12:15:49.109 | INFO  | Apple LLVM 15.0.0 (clang-1500.3.9.4)  (main.cpp:253)
2024-09-13 12:15:49.109 | INFO  | Go 1.23.1  (main.cpp:255)
2024-09-13 12:15:49.109 | INFO  | Telegram OFF, WhatsApp ON  (main.cpp:257)
2024-09-13 12:15:58.207 | INFO  | whatsmeow Upgrading database to v1  (gowm.go:478)
2024-09-13 12:15:58.210 | INFO  | whatsmeow Upgrading database to v2  (gowm.go:478)
2024-09-13 12:15:58.211 | INFO  | whatsmeow Upgrading database to v3  (gowm.go:478)
2024-09-13 12:15:58.212 | INFO  | whatsmeow Upgrading database to v4  (gowm.go:478)
2024-09-13 12:15:58.214 | INFO  | whatsmeow Upgrading database to v5  (gowm.go:478)
2024-09-13 12:15:58.215 | INFO  | whatsmeow Upgrading database to v6  (gowm.go:478)
2024-09-13 12:15:58.219 | INFO  | create base db schema  (messagecache.cpp:264)
2024-09-13 12:15:58.220 | INFO  | update db schema 3 to 4  (messagecache.cpp:304)
2024-09-13 12:15:58.220 | INFO  | has gui  (gowm.go:342)
2024-09-13 12:16:16.312 | INFO  | whatsmeow Successfully paired 917208073319:25@s.whatsapp.net  (gowm.go:478)
2024-09-13 12:16:16.713 | INFO  | whatsmeow Got 515 code, reconnecting...  (gowm.go:478)
2024-09-13 12:16:17.146 | INFO  | whatsmeow Successfully authenticated  (gowm.go:478)
2024-09-13 12:16:17.757 | INFO  | whatsmeow Uploading 50 new prekeys to server  (gowm.go:478)
2024-09-13 12:16:18.660 | INFO  | ui loop start  (ui.cpp:96)
2024-09-13 12:16:18.714 | WARN  | tmp  (gowm.go:2327)
2024-09-13 12:16:19.894 | WARN  | whatsmeow Failed to parse <meta> node in 3A2B77EB7AA72989F926: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:19.898 | WARN  | whatsmeow Failed to parse <meta> node in 3A8DBE3305BB81AE7FE7: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:19.899 | WARN  | whatsmeow Failed to parse <meta> node in 3AD9942C1D7C60BA5C94: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:20.787 | WARN  | whatsmeow Failed to parse <meta> node in 3A8F73B69F9FF79ED614: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:21.020 | INFO  | whatsmeow Stored 288 privacy tokens from history sync  (gowm.go:478)
2024-09-13 12:16:21.423 | WARN  | whatsmeow Failed to parse <meta> node in 3ABFB72F817BCBCEBFA2: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:21.853 | WARN  | whatsmeow Failed to parse <meta> node in 3A16CCBC9586E9574C75: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:21.992 | INFO  | whatsmeow Updating contact store with 1000 push names from history sync  (gowm.go:478)
2024-09-13 12:16:25.517 | WARN  | whatsmeow Failed to parse <meta> node in 3ADC30ED405F9935DA48: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:29.185 | WARN  | whatsmeow Failed to parse <meta> node in 3AA219088CD7C42CCD1A: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:31.069 | WARN  | whatsmeow Failed to parse <meta> node in 3A8379702BD88811B45D: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:32.147 | WARN  | whatsmeow Failed to parse <meta> node in 3A2A47BD0090376DDC41: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:32.426 | WARN  | whatsmeow Failed to parse <meta> node in 3A1BED908B48FBE6A25E: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:32.720 | WARN  | url and path not present  (gowm.go:237)
2024-09-13 12:16:35.855 | WARN  | whatsmeow Failed to parse <meta> node in 3A158395CCEEF4024BFB: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:39.419 | WARN  | whatsmeow Failed to parse <meta> node in 3AB20A74FCDFE23121A8: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:41.157 | WARN  | whatsmeow Failed to parse <meta> node in 3AF16F0BA38FB6304051: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:42.745 | WARN  | whatsmeow Failed to parse <meta> node in 3A94178FD806D9673EE7: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:46.313 | WARN  | whatsmeow Failed to parse <meta> node in 3A417602CD8128FD0EA1: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:46.315 | WARN  | whatsmeow Failed to parse <meta> node in 3A1C3BC9B91EEF0507A4: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:46.803 | WARN  | url and path not present  (gowm.go:237)
2024-09-13 12:16:47.885 | WARN  | whatsmeow Failed to parse <meta> node in 3ABAE6A1E79F51F2E150: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:50.768 | WARN  | whatsmeow Failed to parse <meta> node in 3AA4B610673E5572D4CD: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:52.640 | WARN  | whatsmeow Failed to parse <meta> node in 3A3F1959710600A46C13: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:52.641 | WARN  | whatsmeow Failed to parse <meta> node in 3A39C86210D2595038FD: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:54.316 | WARN  | whatsmeow Failed to parse <meta> node in 3A5FA61873D8C226DBCD: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:57.953 | WARN  | whatsmeow Failed to parse <meta> node in 3A52937A0F1D871BD7F3: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:57.955 | WARN  | whatsmeow Failed to parse <meta> node in 3A08A8C6F28491191DDC: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:16:59.383 | WARN  | whatsmeow Failed to parse <meta> node in 3A7D27095A6E6004B894: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:00.818 | WARN  | whatsmeow Failed to parse <meta> node in 3AEEB8B0C4EF7F4963E4: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:03.993 | WARN  | whatsmeow Failed to parse <meta> node in 3A0F826D47D2B451DF35: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:03.994 | WARN  | whatsmeow Failed to parse <meta> node in 3A4CAE662559206AAB05: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:05.527 | WARN  | whatsmeow Failed to parse <meta> node in 3AE014603BAC0C454808: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:06.932 | WARN  | whatsmeow Failed to parse <meta> node in 3A9E8AC0F3D41D97FD47: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:10.033 | WARN  | whatsmeow Failed to parse <meta> node in 3A3CD0725FBA32E65133: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:10.034 | WARN  | whatsmeow Failed to parse <meta> node in 3A3CE537889479D80869: [didn't find required attribute 'target_id']  (gowm.go:482)
